#separator:tab
#html:false
ID cell type:	Eosinophil
Chronic lymphocytic leukemia:    Epidemiology - > 60 yo   Neoplastic cells -  abnormal B cells that cannot differentiate into plasma cells --> hypogammaglobulinemia Markers - B cell markers (CD19, 20, 23) and CD5 (T cell marker) Location of neoplastic cells - bone marrow and peripheral blood   Labs:  Characteristic cells - [...] Serology - [...] WBC - [...] RBCs (50%) - [...]  Platelets (40%) - [...] Bone marrow - [...]	Chronic lymphocytic leukemia:    Epidemiology - > 60 yo   Neoplastic cells -  abnormal B cells that cannot differentiate into plasma cells --> hypogammaglobulinemia Markers - B cell markers (CD19, 20, 23) and CD5 (T cell marker) Location of neoplastic cells - bone marrow and peripheral blood   Labs:  Characteristic cells - Smear cells (artifact) Serology - hypogammaglobulinemia WBC - lymphocytosis (proliferating B cells) RBCs (50%) - autoimmune hemolytic anemia --> spherocytes seen on PB smear  Platelets (40%) - immune thrombocytopenia Bone marrow - usually replaced by neoplastic B cells
[...]:    Epidemiology - > 60 yo   Neoplastic cells -  abnormal B cells that cannot differentiate into plasma cells --> hypogammaglobulinemia Markers - B cell markers (CD19, 20, 23) and CD5 (T cell marker) Location of neoplastic cells - bone marrow and peripheral blood   Labs:  Characteristic cells - Smear cells (artifact) Serology - hypogammaglobulinemia WBC - lymphocytosis (proliferating B cells) RBCs (50%) - autoimmune hemolytic anemia --> spherocytes seen on PB smear  Platelets (40%) - immune thrombocytopenia Bone marrow - usually replaced by neoplastic B cells	Chronic lymphocytic leukemia:    Epidemiology - > 60 yo   Neoplastic cells -  abnormal B cells that cannot differentiate into plasma cells --> hypogammaglobulinemia Markers - B cell markers (CD19, 20, 23) and CD5 (T cell marker) Location of neoplastic cells - bone marrow and peripheral blood   Labs:  Characteristic cells - Smear cells (artifact) Serology - hypogammaglobulinemia WBC - lymphocytosis (proliferating B cells) RBCs (50%) - autoimmune hemolytic anemia --> spherocytes seen on PB smear  Platelets (40%) - immune thrombocytopenia Bone marrow - usually replaced by neoplastic B cells
[...]:    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)	"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"
"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - [...] Associated virus - [...] Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"	"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"
"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of [...] gene --> inhibition of [...] --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"	"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"
"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? [...]  Lymphadenopathy? [...] Skin lesions? [...] Lytic bone lesions? [...]   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"	"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"
"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - [...] Metabolic - [...]   Treatment - AZT (azidothymidine/zidovudine)"	"Adult T cell leukemia (classified under ""other leukemias""):    Epidemiology (geography) - most common in Japan and the Carribean   Neoplastic cells - CD4+ helper T cells Associated virus - HTLV-1 Pathogenesis - activation of TAX gene --> inhibition of p53 --> increased proliferation   Clinical presentation:  Hepatosplenomegaly? YES  Lymphadenopathy? YES Skin lesions? YES (need to rule out other T cell malignancies)  Lytic bone lesions? YES (lymphoblasts secrete osteoclast-activating factor need to rule out multiple myeloma)   Labs:  Characteristic cell - malignant T cells with hyperlobated nucleus (4-leaf clover or flower shaped) Metabolic - hypercalcemia   Treatment - AZT (azidothymidine/zidovudine)"
[...]:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine	Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine
Hairy cell leukemia:    Epidemiology - [...] Neoplastic cells - [...]   Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine	Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine
Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - [...]  Lymphadenopathy? [...]  Infection - [...] Autoimmune - [...] and [...]    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine	Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine
Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - [...] Neoplastic cell appearance - [...] WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine	Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine
Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - [...] RBC - [...] Platelets - [...] Bone marrow - [...]   Treatment - 2-chlorodeoxyadenosine	Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine
Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - [...]	Hairy cell leukemia:    Epidemiology - middle aged men Neoplastic cells - mature B cells    Clinical presentation:  Most common sign (90% of cases) - splenomegaly  Lymphadenopathy? NO  Infection - atypical mycobacteria (e.g. MAC) Autoimmune - vasculitis and arthritis    Labs:  Diagnostic stain - TRAP (tartrate resistant acid phosphatase stain) Neoplastic cell appearance - fried eggs (ample cytoplasm and small nucleus/yolk) WBC - pancytopenia RBC - pancytopenia Platelets - pancytopenia Bone marrow - dry tap (packed with leukemic cells)    Treatment - 2-chlorodeoxyadenosine
Antimitochondrial Antibodies	Primary Billiary sclerosis: destruction of interlobular bile ducts. Pruritis, enlarged liver, anicteric sclerae
Antiphospholipid Antibody Syndrome Diagnostic Criteria:	1) Thrombosis or pregnancy complication 2) Two positive blood tests spaced at least 3 months apart. Anticardiolipin is the antibody that can give a false positive to VDRL testing (syphillis)
Antismooth muscle antibodies	Autoimmune hepatitis, typically associated with other auto immunological features such as autoimmune thyroiditis, rheumatoid arthritis and other conditions.
Antimicrosomal and Antithyroperoxidase Antibodies	Hashimoto's Thyroiditis
anti–U1-RNP antibodies	Mixed connective tissue disease (symptoms similar to SLE and Systemic Sclerosis) (U1-ribonucleoprotein)
anti–RNA polymerase III antibodies (anti-RNA-pol-III)	Specific for Diffuse Scleroderma, predicts the scleroderma renal crisis Anti-Scl-70 Antibody does not predict scleroderma renal crisis. Anti-RNA-pol-I/II/III are all associated with renal crises.
Why do patients with thalassemia that do not require transfusions have iron overload?	Low hepicidin causing augmented gastrointestinal absorption and involves mainly the liver. The hepatic peptide hepcidin, normally regulated by marrow activity and by iron load, is disproportionately low in individuals with thalassemia, allowing iron to be absorbed from the gut even in the presence of severe overload. Although individuals with thalassemia intermedia are at risk of iron overload, hypogonadism, hypothyroidism and diabetes are not common
Complications of thalassemia intermedia	Pulmonary hypertension, thromboembolic events, leg ulcers over the medial malleolus,  tumours resulting from extramedullary erythropoiesis, primary cause of premature death is myocardial hemosiderosis Hemolysis per se has been linked to the development of a hypercoagulable state and pulmonary hypertension. The pathogenesis may include: activation of platelets, endothelial cells and monocytes with increased both thromboxane, and endothelin, decreased prostacycline along with dysfunction of the coagulation system. Leg ulcers associated with chronic anemia/hemolysis
What is Hba2?	Two alpha and two delta chains. Found in low levels in adults, or higher levels in patients with beta thalassemia.
What is methemoglobinemia?	Increased leves of methemoglobin. (metHb, i.e., ferric [Fe3+] rather than ferrous [Fe2+] haemoglobin) Brown colored blood instead of red. Methemoglobinemia can be treated with supplemental oxygen and methylene blue.
Causes of acquired methemoglobinemia	Antibiotics (trimethoprim, sulfonamides and dapsone), local anesthetics (especially articaine, benzocaine, and prilocaine), and aniline dyes, metoclopramide,rasburicase, chlorates, bromates and nitrates
Cell surface proteins ankyrin, spectrin & protein 3 are seen in which condition?	Hereditary spherocytosis: ankyrin (50%), spectrin (25%) & protein 3 (25%) These proteins are necessary to maintain the normal shape of a red blood cell, which is a biconcave disk. The integrating protein that is most commonly defective is ankyrin which is responsible for incorporation and binding of spectrin, thus in its dysfunction cytoskeletal instabilities ensue.The primary defect in hereditary spherocytosis is a deficiency of membrane surface area. Decreased surface area may be produced by two different mechanisms: 1) Defects of spectrin, ankyrin (most commonly), or protein 4.2 lead to reduced density of the membrane skeleton, destabilizing the overlying lipid bilayer and releasing band 3-containing microvescicles. 2) Defects of band 3 lead to band 3 deficiency and loss of its lipid-stabilizing effect. This results in the loss of band 3-free microvesicles. Both pathways result in membrane loss, decreased surface area, and formation of spherocytes with decreased deformability
Donath-Landsteiner Antibody	Paroxysmal cold hemoglobinuria /  cold antibody autoimmune hemolytic anemia (IgG) not PNH
CD55 & CD59 are deficient in which illness?	Paroxysmal nocturnal hemoglobinuria
Features of CLL (6)	1) Diagnosed with mature lymphocytosis and  a) very low levels of surface membrane (smlg) and either kappa or lambda light chains (not both), b) B-cell associated antigens (CD19, 20 & 23), and c) T-cell antigen CD5.  2) Hepatosplenomegaly & lymphadenopathy 3) Leukemia Cutis - skin infiltration of CLL causing maculo-papular rash (only in 5% of cases) 4) Warm-agglutinin hemolytic anemia 5) Hypogammaglobulinemia - in 15% at diagnosis, but will develop in 66% 6) Richter's Transformation - in 2-8%, transformation to a diffuse large B-cell lymphoma (Hodgkins & T-cell lymphoma)
Anticoagulation for phospholipid antibody syndrome in pregnancy?	Heparin + Aspirin. Warfarin only safe in breastfeeding
Hodgkin's lymphoma with the best prognosis	Lymphocyte-rich
What conditions are most associated with Budd-Chiari Syndrome?	Underlying thrombotic diathesis, Myeloproliferative disorders: polycythemia vera and paroxysmal nocturnal hemoglobinuria Also: Pregnancy, tumors, chronic inflammatory diseases, clotting disorders, and infections.
Which host factors in stem cell transplant patients most predisposes them to infections with organisms such as Aspergillus fumigatus, Rhizopus and Scedosporium?	Older ageThe presence and severity of GVHDCorticosteroid therapyGraft failureDiagnosis other than chronic myeloid leukemiaAdvanced cancer at transplantationCytopenias (neutropenia, lymphopenia, monocytopenia)Iron overload  The median time of onset of aspergillosis is 100 days after transplantation
Definitive diagnosis of Sickle Cell Disease?	Hemoglobin electrophoresis demonstrating HbS
What produces thrombopeitin and what state causes a deficiency?	Liver - cirrhosis causes thrombopoeitin deficiency and thrombocytopenia
Plasma cell disorders (associated with monoclonal gammopathies):    Multiple myeloma - tumor masses thorughout the skeletal system (most important/deadly of these disorders) with M component > 3g/dL   Smoldering/asymptomatic myeloma - subtype of first disease, with increased plasma M component but without symptoms.    Plasmacytoma (solitary myeloma) - subtype of first disease, but with a single mass in soft tissue.    Waldenstrom's macroglobinemia - high levels of IgM --> [...]   Heavy chain disease - synthesis and secretion of free heavy chain fragments (most commonly in the setting of chronic lymphocytic lymphoma or small lymphocytic lymphoma and mediterranean lymphomas that secrete IgA from small bowel).   Primary amyloidosis - results from a monoclonal proliferation of plasma cells secreting free light chains that are subsequently processed and deposited as amyloids.   Monoclonal gammopathy of undetermined significance (MGUS) - most common in elderly, [...], minimal Bence-Jones proteins in urine and often without any signs or symptoms.	Plasma cell disorders (associated with monoclonal gammopathies):    Multiple myeloma - tumor masses thorughout the skeletal system (most important/deadly of these disorders) with M component > 3g/dL   Smoldering/asymptomatic myeloma - subtype of first disease, with increased plasma M component but without symptoms.    Plasmacytoma (solitary myeloma) - subtype of first disease, but with a single mass in soft tissue.    Waldenstrom's macroglobinemia - high levels of IgM --> blood hyperviscosity and lymphoblastic lymphoma   Heavy chain disease - synthesis and secretion of free heavy chain fragments (most commonly in the setting of chronic lymphocytic lymphoma or small lymphocytic lymphoma and mediterranean lymphomas that secrete IgA from small bowel).   Primary amyloidosis - results from a monoclonal proliferation of plasma cells secreting free light chains that are subsequently processed and deposited as amyloids.   Monoclonal gammopathy of undetermined significance (MGUS) - most common in elderly, M components in blood of patients that is < 3g/dL, minimal Bence-Jones proteins in urine and often without any signs or symptoms.
Diagnostic Criteria of MGUS	1) A monoclonal paraprotein band lesser than 30 g/L (< 3g/dL). 2) Plasma cells less than 10% on bone marrow examination. 3) No end-organ dysfunction: bone lesions, anemia, hypercalcemia, or renal insufficiency related to the paraprotein. 4) No evidence of another B-cell proliferative disorder.
What Ig is secreted only in Waldenstrom's macroglobulinemia and NOT in myeloma?	IgM
Three factors associated with progression to myeloma in MGUS:	1) IgA is more likely to progress then IgG 2) If serum free light chain is abnormal 3) Higher levels of paraprotein A paraprotein is a monoclonal immunoglobulin or light chain present in the blood or urine; it is produced by a clonal population of mature B cells, most commonly plasma cells.
If a patient with an IgM MGUS progresses, what is the likely underlying tumor?	Waldenstrom's Macroglobulinemia or Non-Hodgkin's Lymphoma and other B-cell proliferative disorders, NOT myeloma. IgM Multiple Myeloma is exceedingly rare
What osteoporotic medication must a patient with multiple myeloma, with/without bone lesions be on?	Bisphosphonates Inhibits osteoclast activity and has an anti-myeloma effect as well. Translates into fewer lytic bone lesions and fewer skeletal events (eg, pathologic fracture) in patients with MM.
Thalassemia genotypes   Beta thalassemias:  Major - [...] or [...] Intermedia - [...] or [...] Minor - [...] or [...]   Alpha thalassemias:  Hydrops fetalis (Bart's disease) - [...] HbH disease - [...] Alpha thalassemia trait - [...] Silent carrier - [...]	Thalassemia genotypes   Beta thalassemias:  Major - Homozygous [$]\beta ^0 / \beta ^0[/$] (no detectable beta chains) or Homozygous [$]\beta ^+ / \beta ^+[/$] (some detectable beta chains) Intermedia - Heterozygous [$]\beta ^0 / \beta [/$] or [$]\beta ^+ / \beta ^+[/$] Minor - Heterozygous [$]\beta ^+ / \beta[/$] or Heterozygous [$]\beta ^0 / \beta[/$], which is similar to in intermedia   Alpha thalassemias:  Hydrops fetalis (Bart's disease) - all 4 alpha chain genes deleted: [$]--/--[/$] HbH disease - 1 alpha gene intact: [$]\alpha -/--[/$] Alpha thalassemia trait - 2 alpha gene intact: [$]\alpha \alpha /--[/$] Silent carrier - 3 alpha gene intact: [$]\alpha \alpha / \alpha -[/$]   Beta Thalassemia Beta-thalassemias are heterogeneous autosomal recessive hereditary anemias characterized by reduced or absent β globin chain synthesis. The resulting relative excess of unbound α globin chains precipitate in erythroid precursors in the bone marrow, leading to their premature death and, hence, to ineffective erythropoiesis.   In most cases, mutations are single nucleotide substitutions, deletions or insertions of single nucleotides or small oligonucleotides leading to frameshift. Their diversity and the consequent variable degree of globin chain imbalance are the main determinants for milder phenotypes, the coinheritance of homozygosity or compound heterozygosity for mild β-thalassemia alleles being responsible for a consistent residual output of β chains from the affected β globin locus.   Alleles without a mutation that reduces function are characterized as (β). Mutations are characterized as (βo) if they prevent any formation of β chains, mutations are characterized as (β+) if they allow some β chain formation to occur.   In thalassemia, an additional, contiguous length or a discontinuous fragment of non-coding instructions are included in the mRNA. This happens because the mutation obliterates the boundary between the intronic and exonic portions. Because all the coding sections may still be present, normal hemoglobin may be produced and the added material, if it produces pathology, instead disrupts regulatory functions enough to produce anemia.   Alpha Thalassemia Genes that regulate both the synthesis and the structure of different globins are organized into 2 separate clusters. The alpha-globin genes are encoded on chromosome 16, and the gamma-, delta-, and beta-globin genes are encoded on chromosome 11. Healthy individuals have 4 alpha-globin genes, 2 on each chromosome 16 (αα/αα; see the image below). Alpha thalassemia syndromes are caused by deficient expression of 1 or more of the 4 alpha-globin genes on chromosome 16 and are characterized by absent or reduced synthesis of alpha-globin chains.    In hydrops fetalis Bart's hemoglobin (HbH) is produced and is composed of 4 gamma chains. Fetal hemoglobin (HbF) is composed of 2 alpha and 2 gamma chains.
Thalassemia genotypes   Beta thalassemias:  [...] - Homozygous [$]\beta ^0 / \beta ^0[/$] (no detectable beta chains) or Homozygous [$]\beta ^+ / \beta ^+[/$] (some detectable beta chains) [...] - Heterozygous [$]\beta ^0 / \beta [/$] or [$]\beta ^+ / \beta ^+[/$] [...] - Heterozygous [$]\beta ^+ / \beta[/$] or Heterozygous [$]\beta ^0 / \beta[/$], which is similar to in intermedia   Alpha thalassemias:  [...] - all 4 alpha chain genes deleted: [$]--/--[/$] [...] - 1 alpha gene intact: [$]\alpha -/--[/$] [...] - 2 alpha gene intact: [$]\alpha \alpha /--[/$] [...] - 3 alpha gene intact: [$]\alpha \alpha / \alpha -[/$]	Thalassemia genotypes   Beta thalassemias:  Major - Homozygous [$]\beta ^0 / \beta ^0[/$] (no detectable beta chains) or Homozygous [$]\beta ^+ / \beta ^+[/$] (some detectable beta chains) Intermedia - Heterozygous [$]\beta ^0 / \beta [/$] or [$]\beta ^+ / \beta ^+[/$] Minor - Heterozygous [$]\beta ^+ / \beta[/$] or Heterozygous [$]\beta ^0 / \beta[/$], which is similar to in intermedia   Alpha thalassemias:  Hydrops fetalis (Bart's disease) - all 4 alpha chain genes deleted: [$]--/--[/$] HbH disease - 1 alpha gene intact: [$]\alpha -/--[/$] Alpha thalassemia trait - 2 alpha gene intact: [$]\alpha \alpha /--[/$] Silent carrier - 3 alpha gene intact: [$]\alpha \alpha / \alpha -[/$]   Beta Thalassemia Beta-thalassemias are heterogeneous autosomal recessive hereditary anemias characterized by reduced or absent β globin chain synthesis. The resulting relative excess of unbound α globin chains precipitate in erythroid precursors in the bone marrow, leading to their premature death and, hence, to ineffective erythropoiesis.   In most cases, mutations are single nucleotide substitutions, deletions or insertions of single nucleotides or small oligonucleotides leading to frameshift. Their diversity and the consequent variable degree of globin chain imbalance are the main determinants for milder phenotypes, the coinheritance of homozygosity or compound heterozygosity for mild β-thalassemia alleles being responsible for a consistent residual output of β chains from the affected β globin locus.   Alleles without a mutation that reduces function are characterized as (β). Mutations are characterized as (βo) if they prevent any formation of β chains, mutations are characterized as (β+) if they allow some β chain formation to occur.   In thalassemia, an additional, contiguous length or a discontinuous fragment of non-coding instructions are included in the mRNA. This happens because the mutation obliterates the boundary between the intronic and exonic portions. Because all the coding sections may still be present, normal hemoglobin may be produced and the added material, if it produces pathology, instead disrupts regulatory functions enough to produce anemia.   Alpha Thalassemia Genes that regulate both the synthesis and the structure of different globins are organized into 2 separate clusters. The alpha-globin genes are encoded on chromosome 16, and the gamma-, delta-, and beta-globin genes are encoded on chromosome 11. Healthy individuals have 4 alpha-globin genes, 2 on each chromosome 16 (αα/αα; see the image below). Alpha thalassemia syndromes are caused by deficient expression of 1 or more of the 4 alpha-globin genes on chromosome 16 and are characterized by absent or reduced synthesis of alpha-globin chains.    In hydrops fetalis Bart's hemoglobin (HbH) is produced and is composed of 4 gamma chains. Fetal hemoglobin (HbF) is composed of 2 alpha and 2 gamma chains.
Most common plasma cell dyscrasia	MGUS
MGUS	Most common plasma cell dyscrasia
Causes of decreased ESR	Polycythemia, sickle cell anemia & chronic heart failure
In methemaglobinemia the [...] will be normal/high while the [...] will be low In carboxyhemoglobinemia the [...] will be normal/high while the [...] will be low	In methemaglobinemia the SaO2 will be normal/high while the PaO2 will be low In carboxyhemoglobinemia the SaO2 will be normal/high while the PaO2 will be low  In methemaglobinemia the SaO2 that is low but the PaO2 that is normal/high is called the Saturation Gap. Indicates abnormal hemoglobin such as carboxyhemoglobin, methmoglobin, sulphemoglobin. Cyanohemoglobin does not result in this finding.
